tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 8.02; Multnomah County; Oregon,4650,79400,1109,1039,41,051,000802,2148,0.48370577281191807,1.0,4650.0,35,census_api
Census Tract 9.01; Multnomah County; Oregon,3964,111094,883,959,41,051,000901,1842,0.5206297502714441,1.0,3964.0,35,census_api
Census Tract 9.02; Multnomah County; Oregon,5324,84699,693,1496,41,051,000902,2189,0.6834170854271356,1.0,5324.0,35,census_api
Census Tract 10; Multnomah County; Oregon,5841,93471,1222,1386,41,051,001000,2608,0.531441717791411,1.0,5841.0,35,census_api
Census Tract 11.01; Multnomah County; Oregon,2994,58000,173,1815,41,051,001101,1988,0.9129778672032193,1.0,2994.0,35,census_api
Census Tract 11.02; Multnomah County; Oregon,1365,96667,367,341,41,051,001102,708,0.481638418079096,1.0,1365.0,35,census_api
Census Tract 12.02; Multnomah County; Oregon,3189,147364,979,422,41,051,001202,1401,0.3012134189864383,1.0,3189.0,35,census_api
Census Tract 12.03; Multnomah County; Oregon,2794,91282,407,1114,41,051,001203,1521,0.7324128862590401,1.0,2794.0,35,census_api
Census Tract 12.04; Multnomah County; Oregon,2859,76027,158,1362,41,051,001204,1520,0.8960526315789473,1.0,2859.0,35,census_api
Census Tract 13.01; Multnomah County; Oregon,3958,88231,678,1306,41,051,001301,1984,0.6582661290322581,1.0,3958.0,35,census_api
Census Tract 13.02; Multnomah County; Oregon,3647,118185,998,655,41,051,001302,1653,0.39624924379915305,1.0,3647.0,35,census_api
Census Tract 14; Multnomah County; Oregon,6056,107847,1413,1241,41,051,001400,2654,0.46759608138658626,1.0,6056.0,35,census_api
Census Tract 15; Multnomah County; Oregon,3593,137063,1119,378,41,051,001500,1497,0.25250501002004005,1.0,3593.0,35,census_api
Census Tract 16.01; Multnomah County; Oregon,6131,89699,1686,865,41,051,001601,2551,0.3390827126617013,1.0,6131.0,35,census_api
Census Tract 16.02; Multnomah County; Oregon,4935,78109,1504,507,41,051,001602,2011,0.252113376429637,1.0,4935.0,35,census_api
Census Tract 17.02; Multnomah County; Oregon,4001,77236,832,771,41,051,001702,1603,0.4809731752963194,1.0,4001.0,35,census_api
Census Tract 17.03; Multnomah County; Oregon,3979,64988,1112,783,41,051,001703,1895,0.41319261213720315,1.0,3979.0,35,census_api
Census Tract 17.04; Multnomah County; Oregon,2750,90741,979,291,41,051,001704,1270,0.22913385826771654,1.0,2750.0,35,census_api
Census Tract 18.01; Multnomah County; Oregon,4200,83432,740,1297,41,051,001801,2037,0.6367206676485027,1.0,4200.0,35,census_api
Census Tract 18.02; Multnomah County; Oregon,3710,99784,823,868,41,051,001802,1691,0.5133057362507392,1.0,3710.0,35,census_api
Census Tract 19; Multnomah County; Oregon,5093,168279,1606,364,41,051,001900,1970,0.1847715736040609,1.0,5093.0,35,census_api
Census Tract 20.01; Multnomah County; Oregon,2419,77075,425,792,41,051,002001,1217,0.6507806080525883,1.0,2419.0,35,census_api
Census Tract 20.02; Multnomah County; Oregon,3920,59060,340,2010,41,051,002002,2350,0.8553191489361702,1.0,3920.0,35,census_api
Census Tract 21.01; Multnomah County; Oregon,1704,74107,0,1005,41,051,002101,1005,1.0,1.0,1704.0,35,census_api
Census Tract 21.02; Multnomah County; Oregon,2139,61023,93,1366,41,051,002102,1459,0.9362577107607951,1.0,2139.0,35,census_api
Census Tract 22.03; Multnomah County; Oregon,4492,87500,688,1660,41,051,002203,2348,0.706984667802385,1.0,4492.0,35,census_api
Census Tract 23.03; Multnomah County; Oregon,3710,55673,242,2137,41,051,002303,2379,0.898276586801177,1.0,3710.0,35,census_api
Census Tract 24.01; Multnomah County; Oregon,3035,155000,890,342,41,051,002401,1232,0.2775974025974026,1.0,3035.0,35,census_api
Census Tract 24.02; Multnomah County; Oregon,3310,71695,632,1323,41,051,002402,1955,0.6767263427109974,1.0,3310.0,35,census_api
Census Tract 25.01; Multnomah County; Oregon,4756,209545,1638,120,41,051,002501,1758,0.06825938566552901,1.0,4756.0,35,census_api
Census Tract 25.02; Multnomah County; Oregon,4491,89554,743,1556,41,051,002502,2299,0.6768160069595476,1.0,4491.0,35,census_api
Census Tract 26; Multnomah County; Oregon,2961,143188,1126,49,41,051,002600,1175,0.04170212765957447,1.0,2961.0,35,census_api
Census Tract 27.01; Multnomah County; Oregon,3078,167905,1137,53,41,051,002701,1190,0.04453781512605042,1.0,3078.0,35,census_api
Census Tract 27.02; Multnomah County; Oregon,3629,75833,648,1304,41,051,002702,1952,0.6680327868852459,1.0,3629.0,35,census_api
Census Tract 28.01; Multnomah County; Oregon,3194,124900,1080,138,41,051,002801,1218,0.11330049261083744,1.0,3194.0,35,census_api
Census Tract 28.02; Multnomah County; Oregon,3176,121736,945,270,41,051,002802,1215,0.2222222222222222,1.0,3176.0,35,census_api
Census Tract 29.01; Multnomah County; Oregon,4550,108017,1416,624,41,051,002901,2040,0.3058823529411765,1.0,4550.0,35,census_api
Census Tract 29.02; Multnomah County; Oregon,6370,79587,1866,925,41,051,002902,2791,0.3314224292368327,1.0,6370.0,35,census_api
Census Tract 29.03; Multnomah County; Oregon,4489,75764,875,962,41,051,002903,1837,0.5236799129014698,1.0,4489.0,35,census_api
Census Tract 30; Multnomah County; Oregon,5247,119931,1858,296,41,051,003000,2154,0.1374187558031569,1.0,5247.0,35,census_api
Census Tract 31; Multnomah County; Oregon,5184,135000,1390,738,41,051,003100,2128,0.3468045112781955,1.0,5184.0,35,census_api
Census Tract 32; Multnomah County; Oregon,4504,136719,1228,559,41,051,003200,1787,0.31281477336317853,1.0,4504.0,35,census_api
Census Tract 33.01; Multnomah County; Oregon,3175,105048,548,726,41,051,003301,1274,0.5698587127158555,1.0,3175.0,35,census_api
Census Tract 33.02; Multnomah County; Oregon,4171,91681,817,731,41,051,003302,1548,0.4722222222222222,1.0,4171.0,35,census_api
Census Tract 34.01; Multnomah County; Oregon,3632,105921,796,924,41,051,003401,1720,0.5372093023255814,1.0,3632.0,35,census_api
Census Tract 34.02; Multnomah County; Oregon,4549,100000,588,1676,41,051,003402,2264,0.7402826855123675,1.0,4549.0,35,census_api
Census Tract 35.01; Multnomah County; Oregon,3689,105347,809,891,41,051,003501,1700,0.5241176470588236,1.0,3689.0,35,census_api
Census Tract 35.02; Multnomah County; Oregon,3156,104679,580,685,41,051,003502,1265,0.541501976284585,1.0,3156.0,35,census_api
Census Tract 36.01; Multnomah County; Oregon,4341,100164,1335,732,41,051,003601,2067,0.35413642960812775,1.0,4341.0,35,census_api
