tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 4303.02; Los Angeles County; California,5054,106138,1398,701,06,037,430302,2099,0.333968556455455,1.0,5054.0,35,census_api
Census Tract 4304; Los Angeles County; California,4358,181250,1208,233,06,037,430400,1441,0.16169326856349758,1.0,4358.0,35,census_api
Census Tract 4305.01; Los Angeles County; California,4609,175444,1398,474,06,037,430501,1872,0.2532051282051282,1.0,4609.0,35,census_api
Census Tract 4305.02; Los Angeles County; California,6542,94151,1424,1722,06,037,430502,3146,0.547361729179911,1.0,6542.0,35,census_api
Census Tract 4306; Los Angeles County; California,4567,182682,1303,129,06,037,430600,1432,0.09008379888268156,1.0,4567.0,35,census_api
Census Tract 4307.01; Los Angeles County; California,5224,103906,1064,840,06,037,430701,1904,0.4411764705882353,1.0,5224.0,35,census_api
Census Tract 4307.21; Los Angeles County; California,3403,76300,673,621,06,037,430721,1294,0.47990726429675423,1.0,3403.0,35,census_api
Census Tract 4307.23; Los Angeles County; California,4967,73550,687,1193,06,037,430723,1880,0.6345744680851064,1.0,4967.0,35,census_api
Census Tract 4307.24; Los Angeles County; California,5190,100392,410,1514,06,037,430724,1924,0.7869022869022869,1.0,5190.0,35,census_api
Census Tract 4308.01; Los Angeles County; California,6867,109861,1096,1123,06,037,430801,2219,0.5060838215412348,1.0,6867.0,35,census_api
Census Tract 4308.02; Los Angeles County; California,4199,134073,1081,248,06,037,430802,1329,0.18660647103085026,1.0,4199.0,35,census_api
Census Tract 4308.03; Los Angeles County; California,5012,107269,1270,575,06,037,430803,1845,0.3116531165311653,1.0,5012.0,35,census_api
Census Tract 4309.01; Los Angeles County; California,4389,81496,429,1092,06,037,430901,1521,0.717948717948718,1.0,4389.0,35,census_api
Census Tract 4309.02; Los Angeles County; California,5304,97500,581,1307,06,037,430902,1888,0.6922669491525424,1.0,5304.0,35,census_api
Census Tract 4310.02; Los Angeles County; California,2907,65781,739,477,06,037,431002,1216,0.39226973684210525,1.0,2907.0,35,census_api
Census Tract 4310.03; Los Angeles County; California,4705,83438,464,1072,06,037,431003,1536,0.6979166666666666,1.0,4705.0,35,census_api
Census Tract 4310.04; Los Angeles County; California,3462,87556,399,797,06,037,431004,1196,0.6663879598662207,1.0,3462.0,35,census_api
Census Tract 4311; Los Angeles County; California,7062,107070,1042,1303,06,037,431100,2345,0.5556503198294243,1.0,7062.0,35,census_api
Census Tract 4312; Los Angeles County; California,6276,100417,992,549,06,037,431200,1541,0.35626216742375083,1.0,6276.0,35,census_api
Census Tract 4313; Los Angeles County; California,2543,109250,568,277,06,037,431300,845,0.32781065088757394,1.0,2543.0,35,census_api
Census Tract 4314; Los Angeles County; California,3738,79000,940,382,06,037,431400,1322,0.28895612708018154,1.0,3738.0,35,census_api
Census Tract 4315.01; Los Angeles County; California,4068,59858,836,709,06,037,431501,1545,0.4588996763754045,1.0,4068.0,35,census_api
Census Tract 4315.02; Los Angeles County; California,4430,99219,918,498,06,037,431502,1416,0.3516949152542373,1.0,4430.0,35,census_api
Census Tract 4316; Los Angeles County; California,3810,103295,989,326,06,037,431600,1315,0.2479087452471483,1.0,3810.0,35,census_api
Census Tract 4317.01; Los Angeles County; California,6343,111624,1383,716,06,037,431701,2099,0.34111481657932347,1.0,6343.0,35,census_api
Census Tract 4318; Los Angeles County; California,5040,72750,904,910,06,037,431800,1814,0.5016538037486218,1.0,5040.0,35,census_api
Census Tract 4319; Los Angeles County; California,3615,83897,573,790,06,037,431900,1363,0.5796038151137197,1.0,3615.0,35,census_api
Census Tract 4320.01; Los Angeles County; California,2231,92500,436,178,06,037,432001,614,0.2899022801302932,1.0,2231.0,35,census_api
Census Tract 4320.02; Los Angeles County; California,5354,74000,1035,847,06,037,432002,1882,0.4500531349628055,1.0,5354.0,35,census_api
Census Tract 4321.01; Los Angeles County; California,4813,115944,1088,338,06,037,432101,1426,0.2370266479663394,1.0,4813.0,35,census_api
