tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 19.12; Travis County; Texas,4324,192569,1057,547,48,453,001912,1604,0.3410224438902743,1.0,4324.0,35,census_api
Census Tract 19.13; Travis County; Texas,4937,250001,1641,100,48,453,001913,1741,0.05743825387708214,1.0,4937.0,35,census_api
Census Tract 19.14; Travis County; Texas,5926,127750,1551,1249,48,453,001914,2800,0.44607142857142856,1.0,5926.0,35,census_api
Census Tract 19.15; Travis County; Texas,3154,89279,194,1555,48,453,001915,1749,0.8890794739851343,1.0,3154.0,35,census_api
Census Tract 19.16; Travis County; Texas,3135,250001,947,33,48,453,001916,980,0.0336734693877551,1.0,3135.0,35,census_api
Census Tract 19.17; Travis County; Texas,4440,211042,1390,169,48,453,001917,1559,0.10840282232200128,1.0,4440.0,35,census_api
Census Tract 19.18; Travis County; Texas,2650,200536,841,120,48,453,001918,961,0.12486992715920915,1.0,2650.0,35,census_api
Census Tract 19.19; Travis County; Texas,3799,240368,1121,144,48,453,001919,1265,0.11383399209486166,1.0,3799.0,35,census_api
Census Tract 19.20; Travis County; Texas,6857,87973,1125,1645,48,453,001920,2770,0.5938628158844765,1.0,6857.0,35,census_api
Census Tract 19.21; Travis County; Texas,3693,231500,1353,301,48,453,001921,1654,0.18198307134220074,1.0,3693.0,35,census_api
Census Tract 19.22; Travis County; Texas,2123,78767,453,901,48,453,001922,1354,0.6654357459379616,1.0,2123.0,35,census_api
Census Tract 19.23; Travis County; Texas,3422,116667,829,1195,48,453,001923,2024,0.5904150197628458,1.0,3422.0,35,census_api
Census Tract 20.02; Travis County; Texas,2793,102500,841,447,48,453,002002,1288,0.3470496894409938,1.0,2793.0,35,census_api
Census Tract 20.03; Travis County; Texas,3576,70147,569,1031,48,453,002003,1600,0.644375,1.0,3576.0,35,census_api
Census Tract 20.04; Travis County; Texas,3011,60732,203,1827,48,453,002004,2030,0.9,1.0,3011.0,35,census_api
