tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 16; Fulton County; Georgia,2318,116385,416,1019,13,121,001600,1435,0.7101045296167248,1.0,2318.0,35,census_api
Census Tract 17.01; Fulton County; Georgia,2169,98086,251,734,13,121,001701,985,0.7451776649746192,1.0,2169.0,35,census_api
Census Tract 17.02; Fulton County; Georgia,3653,120304,756,1685,13,121,001702,2441,0.6902908643998361,1.0,3653.0,35,census_api
Census Tract 18.01; Fulton County; Georgia,2412,34219,330,1320,13,121,001801,1650,0.8,1.0,2412.0,35,census_api
Census Tract 18.02; Fulton County; Georgia,2577,66875,773,896,13,121,001802,1669,0.5368484122228879,1.0,2577.0,35,census_api
Census Tract 19.01; Fulton County; Georgia,3862,56204,0,238,13,121,001901,238,1.0,1.0,3862.0,35,census_api
Census Tract 19.02; Fulton County; Georgia,2337,73618,840,884,13,121,001902,1724,0.5127610208816705,1.0,2337.0,35,census_api
Census Tract 21; Fulton County; Georgia,2578,63455,529,904,13,121,002100,1433,0.630844382414515,1.0,2578.0,35,census_api
Census Tract 23; Fulton County; Georgia,1129,36050,139,440,13,121,002300,579,0.7599309153713298,1.0,1129.0,35,census_api
Census Tract 24; Fulton County; Georgia,2804,32763,449,619,13,121,002400,1068,0.5795880149812734,1.0,2804.0,35,census_api
Census Tract 25; Fulton County; Georgia,3123,32042,179,1018,13,121,002500,1197,0.8504594820384294,1.0,3123.0,35,census_api
Census Tract 26; Fulton County; Georgia,1071,34688,58,411,13,121,002600,469,0.8763326226012793,1.0,1071.0,35,census_api
Census Tract 28.01; Fulton County; Georgia,3945,74375,99,876,13,121,002801,975,0.8984615384615384,1.0,3945.0,35,census_api
Census Tract 28.02; Fulton County; Georgia,1715,16658,15,691,13,121,002802,706,0.9787535410764873,1.0,1715.0,35,census_api
Census Tract 29; Fulton County; Georgia,2350,100718,612,690,13,121,002900,1302,0.5299539170506913,1.0,2350.0,35,census_api
Census Tract 30; Fulton County; Georgia,3974,147067,986,1119,13,121,003000,2105,0.5315914489311164,1.0,3974.0,35,census_api
Census Tract 31; Fulton County; Georgia,2710,135247,599,874,13,121,003100,1473,0.593346911065852,1.0,2710.0,35,census_api
Census Tract 32; Fulton County; Georgia,2787,113214,982,676,13,121,003200,1658,0.4077201447527141,1.0,2787.0,35,census_api
Census Tract 35; Fulton County; Georgia,2904,53254,200,1165,13,121,003500,1365,0.8534798534798534,1.0,2904.0,35,census_api
Census Tract 36; Fulton County; Georgia,1133,77037,403,457,13,121,003600,860,0.5313953488372093,1.0,1133.0,35,census_api
Census Tract 37; Fulton County; Georgia,191,-666666666,0,177,13,121,003700,177,1.0,1.0,191.0,35,census_api
Census Tract 38; Fulton County; Georgia,3911,40640,20,224,13,121,003800,244,0.9180327868852459,1.0,3911.0,35,census_api
Census Tract 39; Fulton County; Georgia,1562,33438,246,435,13,121,003900,681,0.6387665198237885,1.0,1562.0,35,census_api
Census Tract 40; Fulton County; Georgia,2770,69333,643,481,13,121,004000,1124,0.4279359430604982,1.0,2770.0,35,census_api
Census Tract 41; Fulton County; Georgia,2137,74041,543,286,13,121,004100,829,0.34499396863691195,1.0,2137.0,35,census_api
Census Tract 42; Fulton County; Georgia,2274,24464,299,1129,13,121,004200,1428,0.7906162464985994,1.0,2274.0,35,census_api
Census Tract 43; Fulton County; Georgia,2447,-666666666,330,279,13,121,004300,609,0.458128078817734,1.0,2447.0,35,census_api
Census Tract 44; Fulton County; Georgia,3628,29311,123,1354,13,121,004400,1477,0.916723087339201,1.0,3628.0,35,census_api
Census Tract 48; Fulton County; Georgia,1347,17279,0,875,13,121,004800,875,1.0,1.0,1347.0,35,census_api
